WP, 26, 2018090900, 83, AC00,   0, 151N, 1548E,  52,  990,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, AC00,   0, 151N, 1548E,  52,  990,   ,  50, NEQ,   61,    0,    0,   61,
WP, 26, 2018090900, 83, AC00,  12, 150N, 1511E,  55,  987,   ,  34, NEQ,  124,   66,   61,  122,
WP, 26, 2018090900, 83, AC00,  12, 150N, 1511E,  55,  987,   ,  50, NEQ,   69,    0,    0,   63,
WP, 26, 2018090900, 83, AC00,  24, 144N, 1475E,  70,  971,   ,  34, NEQ,  130,   94,   98,  126,
WP, 26, 2018090900, 83, AC00,  24, 144N, 1475E,  70,  971,   ,  50, NEQ,   75,   66,   55,   74,
WP, 26, 2018090900, 83, AC00,  36, 141N, 1446E,  70,  969,   ,  34, NEQ,  145,  109,  101,  144,
WP, 26, 2018090900, 83, AC00,  36, 141N, 1446E,  70,  969,   ,  50, NEQ,   81,   69,   68,   83,
WP, 26, 2018090900, 83, AC00,  48, 142N, 1419E,  81,  964,   ,  34, NEQ,  177,  133,  117,  169,
WP, 26, 2018090900, 83, AC00,  48, 142N, 1419E,  81,  964,   ,  50, NEQ,   88,   78,   77,   93,
WP, 26, 2018090900, 83, AC00,  60, 144N, 1395E,  77,  960,   ,  34, NEQ,  178,  151,  125,  166,
WP, 26, 2018090900, 83, AC00,  60, 144N, 1395E,  77,  960,   ,  50, NEQ,  107,   87,   73,  103,
WP, 26, 2018090900, 83, AC00,  72, 148N, 1372E,  71,  963,   ,  34, NEQ,  214,  167,  148,  202,
WP, 26, 2018090900, 83, AC00,  72, 148N, 1372E,  71,  963,   ,  50, NEQ,  127,   91,   82,  110,
WP, 26, 2018090900, 83, AC00,  84, 155N, 1350E,  74,  951,   ,  34, NEQ,  237,  179,  161,  215,
WP, 26, 2018090900, 83, AC00,  84, 155N, 1350E,  74,  951,   ,  50, NEQ,  135,  114,   90,  122,
WP, 26, 2018090900, 83, AC00,  96, 162N, 1328E,  77,  950,   ,  34, NEQ,  284,  218,  175,  231,
WP, 26, 2018090900, 83, AC00,  96, 162N, 1328E,  77,  950,   ,  50, NEQ,  145,  127,  106,  121,
WP, 26, 2018090900, 83, AC00, 108, 173N, 1306E,  82,  939,   ,  34, NEQ,  260,  256,  232,  281,
WP, 26, 2018090900, 83, AC00, 108, 173N, 1306E,  82,  939,   ,  50, NEQ,  152,  141,  118,  134,
WP, 26, 2018090900, 83, AC00, 120, 185N, 1283E,  80,  942,   ,  34, NEQ,  279,  320,  240,  252,
WP, 26, 2018090900, 83, AC00, 120, 185N, 1283E,  80,  942,   ,  50, NEQ,  168,  164,  123,  158,
WP, 26, 2018090900, 83, AC00, 132, 196N, 1259E,  85,  930,   ,  34, NEQ,  300,  283,  247,  302,
WP, 26, 2018090900, 83, AC00, 132, 196N, 1259E,  85,  930,   ,  50, NEQ,  172,  170,  130,  153,
WP, 26, 2018090900, 83, AC00, 144, 207N, 1233E,  95,  921,   ,  34, NEQ,  308,  323,  194,  339,
WP, 26, 2018090900, 83, AC00, 144, 207N, 1233E,  95,  921,   ,  50, NEQ,  183,  182,  144,  148,
WP, 26, 2018090900, 83, AC00, 156, 221N, 1203E,  78,  930,   ,  34, NEQ,  285,  282,  250,  266,
WP, 26, 2018090900, 83, AC00, 156, 221N, 1203E,  78,  930,   ,  50, NEQ,  179,  157,  129,  181,
WP, 26, 2018090900, 83, AC00, 168, 231N, 1176E,  65,  946,   ,  34, NEQ,  281,  293,  260,  106,
WP, 26, 2018090900, 83, AC00, 168, 231N, 1176E,  65,  946,   ,  50, NEQ,  107,  104,   80,   38,
WP, 26, 2018090900, 83, AP01,   0, 151N, 1548E,  53,  990,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, AP01,   0, 151N, 1548E,  53,  990,   ,  50, NEQ,   62,    0,    0,   62,
WP, 26, 2018090900, 83, AP01,  12, 148N, 1513E,  54,  990,   ,  34, NEQ,  118,   66,   64,  117,
WP, 26, 2018090900, 83, AP01,  12, 148N, 1513E,  54,  990,   ,  50, NEQ,    0,    0,    0,   46,
WP, 26, 2018090900, 83, AP01,  24, 145N, 1479E,  62,  978,   ,  34, NEQ,   99,   82,   90,  108,
WP, 26, 2018090900, 83, AP01,  24, 145N, 1479E,  62,  978,   ,  50, NEQ,   71,   55,    0,   76,
WP, 26, 2018090900, 83, AP01,  36, 141N, 1450E,  60,  977,   ,  34, NEQ,  115,   94,   96,  117,
WP, 26, 2018090900, 83, AP01,  36, 141N, 1450E,  60,  977,   ,  50, NEQ,   79,   64,    0,   65,
WP, 26, 2018090900, 83, AP01,  48, 142N, 1426E,  63,  977,   ,  34, NEQ,  123,  117,  111,  121,
WP, 26, 2018090900, 83, AP01,  48, 142N, 1426E,  63,  977,   ,  50, NEQ,   81,   71,    0,   77,
WP, 26, 2018090900, 83, AP01,  60, 147N, 1402E,  68,  972,   ,  34, NEQ,  177,  141,  110,  147,
WP, 26, 2018090900, 83, AP01,  60, 147N, 1402E,  68,  972,   ,  50, NEQ,   98,   79,   54,   86,
WP, 26, 2018090900, 83, AP01,  72, 151N, 1378E,  78,  961,   ,  34, NEQ,  202,  187,  136,  176,
WP, 26, 2018090900, 83, AP01,  72, 151N, 1378E,  78,  961,   ,  50, NEQ,   98,   89,   77,   87,
WP, 26, 2018090900, 83, AP01,  84, 159N, 1356E,  81,  950,   ,  34, NEQ,  210,  178,  142,  199,
WP, 26, 2018090900, 83, AP01,  84, 159N, 1356E,  81,  950,   ,  50, NEQ,  117,   89,   76,  103,
WP, 26, 2018090900, 83, AP01,  96, 166N, 1329E,  78,  950,   ,  34, NEQ,  266,  206,  164,  211,
WP, 26, 2018090900, 83, AP01,  96, 166N, 1329E,  78,  950,   ,  50, NEQ,  114,   97,   78,  100,
WP, 26, 2018090900, 83, AP01, 108, 176N, 1302E,  82,  940,   ,  34, NEQ,  265,  209,  189,  237,
WP, 26, 2018090900, 83, AP01, 108, 176N, 1302E,  82,  940,   ,  50, NEQ,  134,  121,   99,  118,
WP, 26, 2018090900, 83, AP01, 120, 185N, 1275E,  84,  932,   ,  34, NEQ,  281,  257,  188,  255,
WP, 26, 2018090900, 83, AP01, 120, 185N, 1275E,  84,  932,   ,  50, NEQ,  131,  132,   98,  109,
WP, 26, 2018090900, 83, AP01, 132, 195N, 1245E,  87,  921,   ,  34, NEQ,  277,  246,  213,  253,
WP, 26, 2018090900, 83, AP01, 132, 195N, 1245E,  87,  921,   ,  50, NEQ,  144,  146,  116,  133,
WP, 26, 2018090900, 83, AP01, 144, 204N, 1216E,  97,  916,   ,  34, NEQ,  267,  291,  209,  311,
WP, 26, 2018090900, 83, AP01, 144, 204N, 1216E,  97,  916,   ,  50, NEQ,  147,  123,  125,  130,
WP, 26, 2018090900, 83, AP01, 156, 216N, 1186E,  77,  945,   ,  34, NEQ,  258,  220,  217,  178,
WP, 26, 2018090900, 83, AP01, 156, 216N, 1186E,  77,  945,   ,  50, NEQ,  111,  118,   94,  146,
WP, 26, 2018090900, 83, AP01, 168, 223N, 1154E,  59,  959,   ,  34, NEQ,  234,  239,  173,  106,
WP, 26, 2018090900, 83, AP01, 168, 223N, 1154E,  59,  959,   ,  50, NEQ,   66,   96,   78,   54,
WP, 26, 2018090900, 83, AP02,   0, 151N, 1548E,  54,  989,   ,  34, NEQ,    0,    0,    0,    0,
WP, 26, 2018090900, 83, AP02,   0, 151N, 1548E,  54,  989,   ,  50, NEQ,   64,    0,    0,   65,
WP, 26, 2018090900, 83, AP02,  12, 148N, 1508E,  61,  987,   ,  34, NEQ,  115,   75,   67,  105,
WP, 26, 2018090900, 83, AP02,  12, 148N, 1508E,  61,  987,   ,  50, NEQ,   75,   44,    0,   49,
WP, 26, 2018090900, 83, AP02,  24, 144N, 1471E,  67,  977,   ,  34, NEQ,  134,   87,   83,  130,
WP, 26, 2018090900, 83, AP02,  24, 144N, 1471E,  67,  977,   ,  50, NEQ,   83,   58,   48,   75,
WP, 26, 2018090900, 83, AP02,  36, 136N, 1439E,  67,  975,   ,  34, NEQ,  146,  115,  107,  129,
WP, 26, 2018090900, 83, AP02,  36, 136N, 1439E,  67,  975,   ,  50, NEQ,   84,   73,   61,   80,
WP, 26, 2018090900, 83, AP02,  48, 136N, 1415E,  63,  977,   ,  34, NEQ,  171,  126,  128,  154,
WP, 26, 2018090900, 83, AP02,  48, 136N, 1415E,  63,  977,   ,  50, NEQ,   88,   73,    0,   89,
WP, 26, 2018090900, 83, AP02,  60, 139N, 1394E,  67,  973,   ,  34, NEQ,  187,  162,  149,  185,
WP, 26, 2018090900, 83, AP02,  60, 139N, 1394E,  67,  973,   ,  50, NEQ,  115,   98,    0,  107,
WP, 26, 2018090900, 83, AP02,  72, 145N, 1370E,  70,  967,   ,  34, NEQ,  216,  206,  164,  189,
WP, 26, 2018090900, 83, AP02,  72, 145N, 1370E,  70,  967,   ,  50, NEQ,  131,  119,   64,   99,
WP, 26, 2018090900, 83, AP02,  84, 151N, 1351E,  67,  959,   ,  34, NEQ,  248,  226,  163,  232,
